"Brand","Price","Processor_name","Core_per_processor","Total_processor","Execution_units","Threads","RAM_GB","RAM_type","Storage_capacity_GB","Storage_type","Graphics_brand","Graphics_GB","Graphics_integreted","Display_size_inches","ppi","Touch_screen","Operating_system"
"Apple",133553,"Apple M3",8,4,4,12,8,"DDR4",256," SSD","Apple",8,0,15.3,224.22,0,"Mac OS"
"Samsung",70990,"Intel Core i5",10,2,8,12,8,"LPDDR4X",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"MSI",197990,"Intel Core i7",20,8,12,28,32,"DDR5",1000," SSD","NVIDIA",8,0,16,188.68,0,"Windows 11 OS"
"Lenovo",35500,"Intel Core i3",2,2,4,4,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"Acer",49499,"Intel Core i7",4,4,4,8,16,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",122000,"Intel Core i7",10,2,8,12,16,"LPDDR5",1000," SSD","NVIDIA",4,0,15.6,141.21,1,"Windows 11 OS"
"Lenovo",43490,"Intel Core i5",10,2,8,12,8,"DDR4",512," SSD","Intel",2,1,14,157.35,0,"DOS OS"
"Lenovo",79990,"Intel Core Ultra",14,4,8,18,16,"LPDDR5",1000," SSD","Intel",4,0,14,161.73,0,"Windows 11 OS"
"HP",175999,"Intel Core Ultra",16,6,8,22,16,"LPDDR5X",1000," SSD","NVIDIA",8,0,14,242.59,0,"Windows 11 OS"
"HP",135999,"AMD Ryzen 7",8,8,4,16,32,"DDR5",1000," SSD","NVIDIA",8,0,16,183.58,0,"Windows 11 OS"
"HP",58490,"Intel Core i5",8,4,4,12,8,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",53490,"Intel Core i5",8,4,4,12,16,"LPDDR5",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"Lenovo",149990,"Intel Core i9",24,8,16,32,32,"DDR5",1000," SSD","NVIDIA",8,0,16,188.68,0,"Windows 11 OS"
"Infinix",33990,"Intel Core i5",4,4,4,8,16,"LPDDR4X",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"Lenovo",69990,"AMD Ryzen 7",8,8,4,16,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",65990,"Intel Core i5",8,4,4,12,16,"DDR4",1000," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Apple",186899,"Apple M3",11,5,6,16,18,"Unified",512," SSD","Apple",8,0,14.2,253.93,0,"Mac OS"
"Dell",69990,"Intel Core i7",10,2,8,12,16,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"Infinix",25990,"Intel Core i5",4,4,4,8,8,"LPDDR4X",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"HP",36512,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",2,1,15.6,141.21,0,"Windows 11 OS"
"Zebronics",43990,"Intel Core i7",10,2,8,12,16,"DDR4",1000," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"MSI",49990,"AMD Ryzen 5",6,6,4,12,8,"DDR5",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",28990,"Intel Core i3",2,2,4,4,8,"DDR4",256," SSD","Intel",2,1,15.6,141.21,0,"Windows 11 OS"
"ASUS",72990,"Intel Core i7",8,8,4,16,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"MSI",41990,"Intel Core i5",6,6,4,12,8,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",60200,"Intel Core i5",6,6,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,16.1,136.83,0,"Windows 11 OS"
"Infinix",18990,"Intel Celeron",4,1,4,4,4,"LPDDR4X",128," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"ASUS",58990,"Intel Core i5",12,4,8,16,16,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",64990,"AMD Ryzen 7",8,8,4,16,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Dell",145990,"Intel Core i7",14,6,8,20,16,"DDR5",512," SSD","NVIDIA",8,0,15.6,141.21,0,"Windows 11 OS"
"HP",37990,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",67990,"Intel Core i5",8,4,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"ASUS",65990,"Intel Core i5",12,4,8,16,16,"DDR4",512," SSD","Intel",4,1,14,161.73,0,"Windows 11 OS"
"HP",49490,"AMD Ryzen 5",6,6,4,12,8,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",77490,"Intel Core i5",10,2,8,12,16,"DDR4",1000," SSD","Intel",4,1,14,157.35,1,"Windows 11 OS"
"MSI",489883,"Intel Core i9",14,6,8,20,64,"DDR5",2000," SSD","NVIDIA",12,0,17.3,254.67,0,"Windows 11 OS"
"Dell",99890,"Intel Core i7",14,6,8,20,16,"DDR5",1000," SSD","NVIDIA",6,0,15.6,188.28,0,"Windows 11 OS"
"Acer",52990,"Intel Core i5",12,4,8,16,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Apple",119900,"Apple M2",8,4,4,12,8,"Unified",512," SSD","Apple",4,0,13.6,224.51,0,"Mac OS"
"ASUS",74990,"Intel Core i5",12,4,8,16,16,"DDR4",512," SSD","Intel",4,0,14,242.59,0,"Windows 11 OS"
"Dell",184999,"Intel Core i7",6,6,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,145.14,0,"Windows 10 OS"
"ASUS",67990,"Intel Core i5",10,2,8,12,16,"DDR4",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"MSI",119990,"AMD Ryzen 7",8,8,4,16,16,"DDR5",1000," SSD","NVIDIA",8,0,17.3,127.34,0,"Windows 11 OS"
"Lenovo",297758,"Intel Core i9",24,8,16,32,32,"DDR5",1000," SSD","NVIDIA",12,0,16,188.68,0,"Windows 11 OS"
"Samsung",85990,"Intel Core i7",10,2,8,12,16,"LPDDR4X",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"Xiaomi",69990,"Intel Core Ultra",14,4,8,18,32,"LPDDR5X",1000," SSD","Intel",4,0,16,226.42,0,"Windows 11 OS"
"Xiaomi",59990,"Intel Core Ultra",14,4,8,18,16,"LPDDR5X",512," SSD","Intel",4,0,14,242.59,0,"Windows 11 OS"
"Lenovo",349990,"Intel Core i9",24,8,16,32,64,"DDR5",2000," SSD","NVIDIA",16,0,16,235.85,0,"Windows 11 OS"
"HP",70490,"Intel Core i5",10,2,8,12,16,"LPDDR5X",512," SSD","Intel",4,0,14,161.73,0,"Windows 11 OS"
"Lenovo",109990,"AMD Ryzen 7",8,8,4,16,32,"LPDDR5X",512," SSD","AMD",4,1,14,161.73,0,"Windows 11 OS"
"HP",86990,"AMD Ryzen 5",6,6,4,12,16,"LPDDR5",512," SSD","AMD",4,0,14,161.73,1,"Windows 11 OS"
"HP",55990,"AMD Ryzen 5",6,6,4,12,16,"DDR4",1000," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",59390,"Intel Core i5",8,4,4,12,16,"LPDDR5",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"Infinix",24990,"Intel Core i3",2,2,4,4,8,"LPDDR4X",512," SSD","Intel",2,1,15.6,141.21,0,"Windows 11 OS"
"Lenovo",33990,"AMD Ryzen 5",4,4,4,8,8,"LPDDR5",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",105990,"Intel Core Ultra",12,2,8,14,16,"LPDDR5",512," SSD","Intel",4,1,14,242.59,1,"Windows 11 OS"
"ASUS",149990,"Intel Core Ultra",16,6,8,22,16,"LPDDR5X",512," SSD","Intel",6,0,14,242.59,0,"Windows 11 OS"
"Lenovo",35490,"AMD Ryzen 5",6,6,4,12,8,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",98790,"AMD Ryzen 7",8,8,4,16,16,"DDR5",512," SSD","NVIDIA",8,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",24790,"AMD Athlon",2,1,4,2,8,"LPDDR5",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"Apple",154990,"Apple M3",8,4,4,12,8,"Unified",512," SSD","Apple",6,0,14.2,253.93,0,"Mac OS"
"Acer",39999,"AMD Ryzen 5",6,6,4,12,16,"DDR4",1000," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",52850,"AMD Ryzen 5",6,6,4,12,8,"DDR5",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Zebronics",23990,"Intel Core i3",4,4,4,8,8,"LPDDR4",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"ASUS",80739,"Intel Core i9",14,6,8,20,16,"DDR4",512," SSD","Intel",4,1,16,141.51,0,"Windows 11 OS"
"Dell",52249,"Intel Core i5",10,2,8,12,16,"DDR4",512," SSD","Intel",2,1,15.6,141.21,0,"Windows 11 OS"
"HP",48990,"Intel Core i5",10,2,8,12,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",85990,"Intel Core i7",10,6,4,16,16,"DDR4",1000," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",81990,"AMD Ryzen 7",8,8,4,16,16,"DDR5",1000," SSD","NVIDIA",4,0,16.1,136.83,0,"Windows 11 OS"
"HP",79990,"Intel Core i7",10,6,4,16,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",79990,"AMD Ryzen 7",8,8,4,16,16,"DDR5",512," SSD","NVIDIA",6,0,15.6,141.21,0,"Windows 11 OS"
"HP",126499,"Intel Core i7",16,8,8,24,16,"DDR5",1000," SSD","NVIDIA",8,0,16.1,136.83,0,"Windows 11 OS"
"ASUS",74990,"Intel Core i5",12,4,8,16,16,"LPDDR5",512," SSD","Intel",4,0,14,242.59,0,"Windows 11 OS"
"ASUS",119000,"Intel Core i7",14,6,8,20,16,"DDR4",1000," SSD","NVIDIA",6,0,16,188.68,0,"Windows 11 OS"
"HP",72490,"Intel Core i5",12,4,8,16,16,"DDR4",512," SSD","Intel",4,0,14,188.68,0,"Windows 11 OS"
"Infinix",49990,"Intel Core i5",12,4,8,16,16,"LPDDR5X",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"ASUS",72990,"Intel Core i5",12,4,8,16,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"Dell",72990,"Intel Core i5",12,4,8,16,16,"LPDDR5",512," SSD","Intel",4,0,16,188.68,0,"Windows 11 OS"
"Acer",31990,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"Infinix",25990,"Intel Core i3",2,2,4,4,8,"LPDDR4X",512," SSD","Intel",2,1,14,157.35,0,"Windows 11 OS"
"Lenovo",27999,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",2,1,14,157.35,0,"DOS OS"
"ASUS",56990,"AMD Ryzen 7",8,8,4,16,16,"DDR4",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",70490,"Intel Core i5",12,4,8,16,16,"DDR4",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"ASUS",114990,"Intel Core i5",12,4,8,16,16,"DDR5",512," SSD","NVIDIA",6,0,16,235.85,0,"Windows 11 OS"
"Acer",31990,"AMD Ryzen 5",4,4,4,8,8,"LPDDR5",512," SSD","AMD",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",195999,"Intel Core i9",16,8,8,24,32,"DDR5",2000," SSD","NVIDIA",16,0,17.3,169.78,0,"Windows 11 OS"
"HP",51990,"Intel Core i5",10,2,8,12,8,"DDR4",512," SSD","Intel",4,0,15.6,141.21,0,"Windows 11 OS"
"Dell",93003,"AMD Ryzen 7",8,8,4,16,16,"DDR5",512," SSD","NVIDIA",6,0,15.6,141.21,0,"Windows 11 OS"
"Dell",71990,"Intel Core i5",12,4,8,16,16,"DDR5",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"HP",84700,"Intel Core i7",12,4,8,16,16,"DDR4",512," SSD","Intel",6,0,15.6,141.21,0,"Windows 11 OS"
"Lenovo",96990,"Intel Core i7",10,2,8,12,16,"DDR4",512," SSD","Intel",4,0,14,161.73,0,"Windows 11 OS"
"Lenovo",55490,"Intel Core i5",10,2,8,12,8,"DDR4",512," SSD","Intel",4,1,14,157.35,0,"Windows 11 OS"
"ASUS",49990,"Intel Core i3",6,2,4,8,16,"DDR4",512," SSD","Intel",4,1,15.6,141.21,0,"Windows 11 OS"
"Lenovo",44990,"Intel Core i3",6,2,4,8,8,"DDR4",512," SSD","Intel",2,1,14,157.35,0,"Windows 11 OS"
"HP",74490,"Intel Core i5",8,4,4,12,16,"DDR4",512," SSD","NVIDIA",4,0,15.6,141.21,0,"Windows 11 OS"
"MSI",114990,"Intel Core Ultra",16,6,8,22,16,"DDR5",1000," SSD","NVIDIA",8,0,15.6,141.21,0,"Windows 11 OS"
"MSI",299990,"Intel Core i9",24,8,16,32,32,"DDR5",2000," SSD","NVIDIA",12,0,17,177.58,0,"Windows 11 OS"
"Apple",134900,"Apple M3",8,4,4,12,8,"Unified",512," SSD","Apple",6,0,13.6,224.51,0,"Mac OS"
