Draft,Trim,V,PE,DISP,PR
10,2.5,16.5,14291,85688,1.08660279805353
10,2.5,18,18422,85688,1.08422105820729
10,2.5,19.5,22184,85688,1.03417090112349
10,2.5,21,26777,85688,1.00175832398055
10,2.5,23,34754,85688,0.988621493997838
10,3.5,13,5653,85688,0.90448
10,3.5,15,10161,85688,1.02833721283271
10,3.5,16.5,14381,85688,1.09344586374696
10,3.5,18,18077,85688,1.06391619092461
10,3.5,19.5,21427,85688,0.998881171040977
10,3.5,21,26502,85688,0.991470258136925
10,3.5,23,35355,85688,1.00571769926609
10,4.5,13,5452,85688,0.87232
10,4.5,15,10093,85688,1.02145531828762
10,4.5,16.5,14471,85688,1.10028892944039
10,4.5,18,17731,85688,1.04355246895415
10,4.5,19.5,20670,85688,0.963591440958463
10,4.5,21,26227,85688,0.981182192293303
10,4.5,23,35956,85688,1.02281390453433
11.5,-2,13,5461,101800.4,0.87376
11.5,-2,15,9697,101800.4,0.981378402995648
11.5,-2,16.5,13162,101800.4,1.0007603406326
11.5,-2,18,17379,101800.4,1.02283561885704
11.5,-2,19.5,22214,101800.4,1.03556943732227
11.5,-2,21,26672,101800.4,0.997830153385709
11.5,-2,23,33071,101800.4,0.940746429993742
11.5,-1,13,5511,101800.4,0.88176
11.5,-1,15,9889,101800.4,1.00080963465236
11.5,-1,16.5,13499,101800.4,1.02638381995134
11.5,-1,18,17437,101800.4,1.02624919074804
11.5,-1,19.5,21776,101800.4,1.0151508088201
11.5,-1,21,26082,101800.4,0.975757575757576
11.5,-1,23,32631,101800.4,0.928230073391364
11.5,0,13,5619,101800.4,0.89904
11.5,0,15,10107,101800.4,1.02287217892926
11.5,0,16.5,13558,101800.4,1.0308698296837
11.5,0,18,17338,101800.4,1.02042257665823
11.5,0,19.5,21506,101800.4,1.00256398303109
11.5,0,21,26077,101800.4,0.975570520014964
11.5,0,23,32893,101800.4,0.93568299482278
11.5,0.75,13,5760,101800.4,0.9216
11.5,0.75,15,10225,101800.4,1.03481429005161
11.5,0.75,16.5,13417,101800.4,1.02014902676399
11.5,0.75,18,17205,101800.4,1.01259490318404
11.5,0.75,19.5,21602,101800.4,1.00703929886719
11.5,0.75,21,26609,101800.4,0.995473251028807
11.5,0.75,23,33453,101800.4,0.951612903225806
11.5,1,13,5794,101800.4,0.92704
11.5,1,15,10143,101800.4,1.02651553486489
11.5,1,16.5,13348,101800.4,1.01490267639903
11.5,1,18,17322,101800.4,1.01948090165382
11.5,1,19.5,21857,101800.4,1.0189268565568
11.5,1,21,26903,101800.4,1.00647212869435
11.5,1,23,33834,101800.4,0.962450930192866
11.5,1.5,13,5827,101800.4,0.93232
11.5,1.5,15,10061,101800.4,1.01821677967817
11.5,1.5,16.5,13279,101800.4,1.00965632603406
11.5,1.5,18,17438,101800.4,1.02630804543582
11.5,1.5,19.5,22112,101800.4,1.03081441424642
11.5,1.5,21,27197,101800.4,1.0174710063599
11.5,1.5,23,34216,101800.4,0.97331740342493
11.5,2,13,5780,101800.4,0.9248
11.5,2,15,10034,101800.4,1.01548426272644
11.5,2,16.5,13412,101800.4,1.01976885644769
11.5,2,18,17713,101800.4,1.04249308457419
11.5,2,19.5,22387,101800.4,1.04363432940189
11.5,2,21,27473,101800.4,1.02779648335204
11.5,2,23,34745,101800.4,0.988365477612789
11.5,2.5,13,5733,101800.4,0.91728
11.5,2.5,15,10008,101800.4,1.01285295010626
11.5,2.5,16.5,13545,101800.4,1.02988138686131
11.5,2.5,18,17987,101800.4,1.05861926902478
11.5,2.5,19.5,22661,101800.4,1.05640762668407
11.5,2.5,21,27749,101800.4,1.03812196034418
11.5,2.5,23,35274,101800.4,1.00341355180065
11.5,3.5,13,5639,101800.4,0.90224
11.5,3.5,15,9955,101800.4,1.00748912053436
11.5,3.5,16.5,13811,101800.4,1.05010644768856
11.5,3.5,18,18535,101800.4,1.09087163792596
11.5,3.5,19.5,23211,101800.4,1.08204745699501
11.5,3.5,21,28301,101800.4,1.05877291432847
11.5,3.5,23,36332,101800.4,1.03350970017637
11.5,4.5,13,5544,101800.4,0.88704
11.5,4.5,15,9902,101800.4,1.00212529096245
11.5,4.5,16.5,14078,101800.4,1.07040754257908
11.5,4.5,18,19084,101800.4,1.12318286151492
11.5,4.5,19.5,23760,101800.4,1.10764066943266
11.5,4.5,21,28853,101800.4,1.07942386831276
11.5,4.5,23,37390,101800.4,1.06360584855209
13,-2,13,6466,118632.5,1.03456
13,-2,15,10344,118632.5,1.04685760550552
13,-2,16.5,13148,118632.5,0.999695863746959
13,-2,18,16734,118632.5,0.984874345241598
13,-2,19.5,21238,118632.5,0.990070392988672
13,-2,21,26697,118632.5,0.998765432098765
13,-2,23,35707,118632.5,1.01573078454799
13,-1,13,6350,118632.5,1.016
13,-1,15,9886,118632.5,1.00050602165773
13,-1,16.5,13945,118632.5,1.06029501216545
13,-1,18,16784,118632.5,0.987817079630393
13,-1,19.5,21087,118632.5,0.983031094121486
13,-1,21,26532,118632.5,0.992592592592593
13,-1,23,35226,118632.5,1.00204813108039
13,0,13,6250,118632.5,1
